"YS"	"O2"	"Reheated"	"ac_ferr"	"T27J"	"Reference"
605	0.0769	46	56	-27	"Line1"
605	0.074	51	48	-40	"Line2"
560	0.07	55	53	-44	"Line3"
585	0.079	43	48	-39	"Line4"
600	0.083	47	53	-32	"Line5"
495	0.081	79	61	-28	"Line6"
630	0.072	60	86	-70	"Line7"
550	0.073	42	70	-45	"Line8"
560	0.069	44	62	-31	"Line9"
550	0.071	55	55	-13	"Line10"
630	0.073	39	68	-55	"Line11"
500	0.07	54	46	-34	"Line12"
610	0.05	44	56	-80	"Line13"
590	0.052	41	59	-78	"Line14"
560	0.048	61	64	-68	"Line15"
550	0.056	51	59	-74	"Line16"
500	0.048	67	60	-68	"Line17"
530	0.12	43	45	-28	"Line18"
490	0.124	46	54	-20	"Line19"
450	0.117	53	46	-30	"Line20"
490	0.107	46	47	-26	"Line21"
420	0.11	72	21	-13	"Line22"
460	0.046	55	46	-74	"Line23"
430	0.052	48	36	-63	"Line24"
440	0.077	40	52	-57	"Line25"
410	0.05	42	63	-55	"Line26"
360	0.047	57	75	-73	"Line27"
469	0.057	40	50	-50	"Line28"
473	0.043	40	62	-65	"Line29"
499	0.055	40	58	-60	"Line30"
519	0.05	40	58	-72	"Line31"
459	0.047	40	50	-40	"Line32"
521	0.042	40	63	-40	"Line33"
507	0.053	40	61	-67	"Line34"
549	0.048	40	67	-60	"Line35"
510	0.044	40	55	-59	"Line36"
531	0.048	40	70	-37	"Line37"
500	0.045	40	55	-60	"Line38"
520	0.042	40	51	-70	"Line39"
570	0.038	40	47	-70	"Line40"
510	0.038	40	52	-70	"Line41"
550	0.04	40	44	-61	"Line42"
540	0.04	40	33	-65	"Line43"
560	0.043	40	15	-47	"Line44"
500	0.058	40	40	-47	"Line45"
510	0.065	20	54	-37	"Line46"
525	0.053	20	38	-50	"Line47"
480	0.058	20	30	-48	"Line48"
500	0.058	20	20	-37	"Line49"
440	0.048	20	5	-40	"Line50"
470	0.046	20	62	-88	"Line51"
480	0.039	20	70	-72	"Line52"
480	0.034	20	70	-60	"Line53"
500	0.031	20	63	-73	"Line54"
510	0.029	20	60	-72	"Line55"
510	0.028	20	62	-72	"Line56"
500	0.028	20	68	-75	"Line57"
540	0.029	20	74	-75	"Line58"
530	0.029	20	76	-75	"Line59"
